2026-04-17 12:15:38 - INFO - Processo de extracao iniciado.
2026-04-17 12:15:49 - INFO - API Iniciada: OpenAlex | Tema: Artificial Intelligence
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://openalex.org/W7135000270
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.19467657
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.19589795
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.4274/dir.2026.263928
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.3892/wasj.2026.463
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.1177/13860291251378923
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.19563086
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.19562590
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.2196/preprints.98158
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.19565571
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.1177/01655515261432507
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.1002/advs.202524273
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.1097/ana.0000000000001113
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.1038/s41746-026-02607-4
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.19564074
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.19500443
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.19562512
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.19587693
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.19563162
2026-04-17 12:15:52 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.3390/medicina62040759
2026-04-17 12:15:55 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.19568155
2026-04-17 12:15:55 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://openalex.org/W7130910025
2026-04-17 12:15:55 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.14744/anatoljcardiol.2026.6274
2026-04-17 12:15:55 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.55041/isjem06350
2026-04-17 12:15:55 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.2319/082825-727.1
2026-04-17 12:15:55 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.19591749
2026-04-17 12:15:55 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.18162573
2026-04-17 12:15:55 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://openalex.org/W7130491759
2026-04-17 12:15:55 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.3389/fbioe.2026.1765936
2026-04-17 12:15:55 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.19561334
2026-04-17 12:15:55 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.1007/s12262-026-04571-5
2026-04-17 12:15:55 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.1007/s00146-026-03028-3
2026-04-17 12:15:55 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.3390/life16040674
2026-04-17 12:15:55 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.19478453
2026-04-17 12:15:55 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://openalex.org/W7154438742
2026-04-17 12:15:59 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.1186/s12909-026-09220-9
2026-04-17 12:15:59 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.19519727
2026-04-17 12:15:59 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.12973/eu-jer.15.3.813
2026-04-17 12:15:59 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.19574367
2026-04-17 12:15:59 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.1117/12.3108276
2026-04-17 12:15:59 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.18184460
2026-04-17 12:15:59 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.3389/fdgth.2026.1769337
2026-04-17 12:15:59 - INFO - Artigo adicionado. API: OpenAlex | Tema: Artificial Intelligence | URL: https://doi.org/10.5281/zenodo.19564971
